1049::{0=14, 2=13, 3=5}::{0=1, 2=1, 3=1}::{0=8, 2=12, 3=11}
1126::{0=19, 2=21, 3=11}::{0=10, 2=13, 3=12}::{0=16, 2=19, 3=14}
1104::{0=25, 2=26, 3=12}::{0=10, 2=13, 3=12}::{0=20, 2=21, 3=16}
1106::{0=29, 2=27, 3=14}::{0=0, 2=22, 3=18}::{0=0, 2=25, 3=18}
1260::{0=44, 2=43, 3=26}::{0=21, 2=26, 3=20}::{0=27, 2=40, 3=31}
1363::{0=58, 2=63, 3=37}::{0=21, 2=26, 3=20}::{0=34, 2=55, 3=44}
999::{0=18, 2=11, 3=7}::{0=1, 2=1, 3=1}::{0=13, 2=8, 3=10}
1018::{0=28, 2=21, 3=12}::{0=14, 2=9, 3=12}::{0=19, 2=14, 3=16}
1148::{0=20, 2=16, 3=7}::{0=1, 2=1, 3=1}::{0=14, 2=12, 3=5}
1186::{0=31, 2=24, 3=16}::{0=16, 2=13, 3=6}::{0=22, 2=15, 3=12}
1260::{0=37, 2=29, 3=19}::{0=16, 2=13, 3=6}::{0=26, 2=16, 3=15}
1264::{0=39, 2=34, 3=20}::{0=27, 2=18, 3=0}::{0=29, 2=20, 3=0}
1261::{0=41, 2=35, 3=23}::{0=30, 2=21, 3=16}::{0=30, 2=21, 3=17}
1159::{0=13, 2=19, 3=9}::{0=1, 2=1, 3=1}::{0=14, 2=8, 3=7}
975::{0=13, 2=17, 3=6}::{0=1, 2=1, 3=1}::{0=11, 2=11, 3=7}
895::{0=0, 2=27, 3=7}::{0=12, 2=13, 3=8}::{0=19, 2=19, 3=11}
811::{0=0, 2=35, 3=0}::{0=21, 2=20, 3=12}::{0=26, 2=25, 3=17}
650::{0=0, 2=50, 3=0}::{0=27, 2=26, 3=19}::{0=40, 2=35, 3=24}
1208::{0=15, 2=18, 3=8}::{0=1, 2=1, 3=1}::{0=8, 2=12, 3=11}
1243::{0=23, 2=22, 3=14}::{0=9, 2=13, 3=13}::{0=16, 2=16, 3=17}
1267::{0=28, 2=24, 3=17}::{0=9, 2=13, 3=13}::{0=18, 2=18, 3=21}
1259::{0=31, 2=27, 3=18}::{0=19, 2=19, 3=23}::{0=20, 2=21, 3=23}
1270::{0=35, 2=29, 3=20}::{0=0, 2=23, 3=24}::{0=0, 2=24, 3=24}
1036::{0=11, 2=16, 3=7}::{0=1, 2=1, 3=1}::{0=9, 2=9, 3=13}
947::{0=19, 2=23, 3=11}::{0=10, 2=10, 3=15}::{0=12, 2=15, 3=22}
1077::{0=24, 2=29, 3=17}::{0=10, 2=10, 3=15}::{0=13, 2=19, 3=25}
1130::{0=29, 2=32, 3=21}::{0=14, 2=20, 3=27}::{0=15, 2=22, 3=27}
1227::{0=31, 2=36, 3=24}::{0=0, 2=24, 3=28}::{0=0, 2=24, 3=29}
1281::{0=47, 2=50, 3=36}::{0=16, 2=25, 3=30}::{0=24, 2=37, 3=38}
1582::{0=68, 2=70, 3=54}::{0=16, 2=25, 3=30}::{0=38, 2=48, 3=48}
983::{0=10, 2=10, 3=7}::{0=1, 2=1, 3=1}::{0=14, 2=10, 3=6}
1031::{0=17, 2=17, 3=14}::{0=15, 2=11, 3=8}::{0=16, 2=19, 3=14}
1061::{0=20, 2=22, 3=16}::{0=15, 2=11, 3=8}::{0=18, 2=21, 3=18}
1121::{0=21, 2=27, 3=20}::{0=19, 2=23, 3=0}::{0=19, 2=27, 3=0}
1104::{0=24, 2=28, 3=0}::{0=0, 2=29, 3=19}::{0=0, 2=30, 3=19}
1170::{0=42, 2=41, 3=28}::{0=20, 2=31, 3=21}::{0=31, 2=37, 3=31}
1092::{0=12, 2=17, 3=5}::{0=1, 2=1, 3=1}::{0=13, 2=10, 3=7}
1161::{0=21, 2=27, 3=10}::{0=14, 2=11, 3=9}::{0=18, 2=15, 3=16}
1192::{0=25, 2=29, 3=13}::{0=14, 2=11, 3=9}::{0=20, 2=17, 3=19}
1171::{0=30, 2=31, 3=15}::{0=21, 2=18, 3=21}::{0=22, 2=18, 3=24}
