1049::{0=14, 2=13, 3=5}::{0=1, 2=1, 3=1}::{0=8, 2=12, 3=11}
1160::{0=31, 2=32, 3=0}::{0=0, 2=19, 3=25}::{0=23, 2=19, 3=26}
1174::{0=44, 2=48, 3=24}::{0=24, 2=20, 3=27}::{0=37, 2=30, 3=32}
1268::{0=62, 2=64, 3=37}::{0=24, 2=20, 3=27}::{0=50, 2=37, 3=47}
1051::{0=14, 2=15, 3=7}::{0=1, 2=1, 3=1}::{0=9, 2=10, 3=11}
1063::{0=22, 2=24, 3=11}::{0=11, 2=11, 3=12}::{0=14, 2=19, 3=16}
1035::{0=24, 2=27, 3=13}::{0=11, 2=11, 3=12}::{0=17, 2=20, 3=19}
1090::{0=29, 2=30, 3=14}::{0=19, 2=21, 3=20}::{0=20, 2=21, 3=22}
1073::{0=31, 2=0, 3=16}::{0=21, 2=23, 3=23}::{0=21, 2=23, 3=23}
1200::{0=44, 2=50, 3=30}::{0=22, 2=25, 3=24}::{0=34, 2=31, 3=33}
1112::{0=44, 2=69, 3=39}::{0=22, 2=25, 3=24}::{0=45, 2=50, 3=39}
1052::{0=11, 2=10, 3=7}::{0=1, 2=1, 3=1}::{0=8, 2=6, 3=4}
1075::{0=15, 2=13, 3=8}::{0=9, 2=8, 3=5}::{0=9, 2=9, 3=8}
1145::{0=18, 2=17, 3=9}::{0=0, 2=10, 3=10}::{0=0, 2=10, 3=10}
1201::{0=24, 2=20, 3=10}::{0=10, 2=10, 3=10}::{0=12, 2=12, 3=13}
1047::{0=6, 2=8, 3=8}::{0=1, 2=1, 3=1}::{0=5, 2=2, 3=11}
1035::{0=8, 2=10, 3=12}::{0=6, 2=3, 3=13}::{0=7, 2=5, 3=14}
1039::{0=9, 2=12, 3=0}::{0=0, 2=0, 3=15}::{0=0, 2=6, 3=16}
1032::{0=14, 2=14, 3=15}::{0=8, 2=7, 3=15}::{0=10, 2=9, 3=18}
1071::{0=27, 2=26, 3=24}::{0=12, 2=10, 3=19}::{0=22, 2=17, 3=20}
1037::{0=8, 2=8, 3=6}::{0=1, 2=1, 3=1}::{0=4, 2=5, 3=9}
1125::{0=13, 2=13, 3=9}::{0=6, 2=6, 3=10}::{0=6, 2=9, 3=12}
1111::{0=14, 2=0, 3=0}::{0=7, 2=0, 3=0}::{0=7, 2=10, 3=0}
1178::{0=18, 2=20, 3=12}::{0=7, 2=11, 3=13}::{0=12, 2=12, 3=14}
1218::{0=19, 2=22, 3=15}::{0=14, 2=13, 3=0}::{0=14, 2=15, 3=0}
985::{0=7, 2=6, 3=3}::{0=1, 2=1, 3=1}::{0=8, 2=3, 3=7}
1037::{0=12, 2=12, 3=8}::{0=9, 2=4, 3=9}::{0=13, 2=6, 3=10}
1161::{0=15, 2=13, 3=14}::{0=1, 2=1, 3=1}::{0=11, 2=7, 3=11}
1112::{0=19, 2=17, 3=17}::{0=1, 2=1, 3=1}::{0=15, 2=12, 3=15}
1077::{0=11, 2=15, 3=12}::{0=1, 2=1, 3=1}::{0=11, 2=8, 3=10}
1112::{0=18, 2=23, 3=15}::{0=1, 2=1, 3=1}::{0=14, 2=12, 3=16}
