833::{1=8, 3=10}::{1=1, 3=1}::{1=14, 3=19}
825::{1=16, 3=17}::{1=1, 3=1}::{1=19, 3=32}
862::{1=20, 3=21}::{1=21, 3=33}::{1=25, 3=34}
827::{1=0, 3=24}::{1=27, 3=35}::{1=29, 3=36}
721::{1=27, 3=37}::{1=27, 3=35}::{1=44, 3=56}
520::{1=34, 3=46}::{1=46, 3=57}::{1=58, 3=77}
932::{1=13, 3=10}::{1=1, 3=1}::{1=18, 3=15}
867::{1=14, 3=6}::{1=1, 3=1}::{1=20, 3=13}
867::{1=0, 3=0}::{1=0, 3=0}::{1=0, 3=0}
828::{1=22, 3=10}::{1=22, 3=14}::{1=31, 3=20}
816::{1=26, 3=13}::{1=33, 3=21}::{1=37, 3=22}
849::{1=29, 3=17}::{1=38, 3=24}::{1=39, 3=27}
821::{1=30, 3=18}::{1=38, 3=24}::{1=41, 3=29}
916::{1=11, 3=9}::{1=1, 3=1}::{1=13, 3=18}
788::{1=8, 3=6}::{1=1, 3=1}::{1=15, 3=18}
817::{1=16, 3=13}::{1=1, 3=1}::{1=23, 3=29}
774::{1=18, 3=16}::{1=24, 3=31}::{1=28, 3=32}
751::{1=20, 3=18}::{1=30, 3=33}::{1=31, 3=35}
724::{1=20, 3=20}::{1=30, 3=33}::{1=35, 3=36}
893::{1=9, 3=11}::{1=1, 3=1}::{1=11, 3=21}
807::{1=12, 3=17}::{1=13, 3=22}::{1=19, 3=31}
725::{1=13, 3=18}::{1=20, 3=33}::{1=24, 3=34}
713::{1=15, 3=20}::{1=25, 3=36}::{1=29, 3=36}
683::{1=15, 3=21}::{1=25, 3=36}::{1=31, 3=38}
573::{1=24, 3=32}::{1=33, 3=39}::{1=47, 3=53}
376::{1=38, 3=40}::{1=49, 3=54}::{1=68, 3=67}
833::{1=14, 3=9}::{1=1, 3=1}::{1=10, 3=22}
819::{1=0, 3=0}::{1=0, 3=0}::{1=0, 3=23}
724::{1=16, 3=18}::{1=11, 3=24}::{1=17, 3=35}
696::{1=18, 3=21}::{1=18, 3=37}::{1=20, 3=39}
618::{1=19, 3=22}::{1=21, 3=41}::{1=21, 3=45}
593::{1=19, 3=22}::{1=21, 3=41}::{1=24, 3=46}
490::{1=31, 3=34}::{1=26, 3=47}::{1=42, 3=59}
849::{1=13, 3=7}::{1=1, 3=1}::{1=12, 3=19}
827::{1=0, 3=8}::{1=13, 3=0}::{1=13, 3=20}
713::{1=18, 3=14}::{1=13, 3=21}::{1=21, 3=30}
700::{1=20, 3=17}::{1=22, 3=32}::{1=25, 3=33}
683::{1=22, 3=19}::{1=27, 3=34}::{1=30, 3=36}
676::{1=23, 3=22}::{1=27, 3=34}::{1=31, 3=39}
673::{1=37, 3=33}::{1=32, 3=41}::{1=44, 3=57}
650::{1=50, 3=45}::{1=46, 3=58}::{1=62, 3=74}
CHKPTID1::821::{1=9, 3=6}::{1=1, 3=1}::{1=14, 3=18}
CHKPTID2::755::{1=14, 3=15}::{1=16, 3=19}::{1=22, 3=29}
CHKPTID3::752::{1=17, 3=17}::{1=23, 3=31}::{1=24, 3=34}
CHKPTID4::702::{1=20, 3=18}::{1=26, 3=35}::{1=29, 3=36}
CHKPTID5::660::{1=21, 3=18}::{1=26, 3=35}::{1=31, 3=38}
CHKPTID6::660::{1=0, 3=0}::{1=0, 3=0}::{1=0, 3=0}
CHKPTID1::983::{1=8, 3=6}::{1=1, 3=1}::{1=11, 3=8}
CHKPTID2::958::{1=9, 3=10}::{1=1, 3=1}::{1=15, 3=12}
CHKPTID3::900::{1=0, 3=0}::{1=17, 3=13}::{1=18, 3=13}
CHKPTID4::871::{1=12, 3=14}::{1=20, 3=14}::{1=24, 3=15}
CHKPTID1::828::{1=5, 3=2}::{1=1, 3=1}::{1=6, 3=13}
CHKPTID2::781::{1=7, 3=4}::{1=1, 3=1}::{1=8, 3=20}
CHKPTID3::759::{1=0, 3=5}::{1=9, 3=22}::{1=9, 3=22}
CHKPTID4::744::{1=10, 3=7}::{1=11, 3=23}::{1=14, 3=25}
CHKPTID5::743::{1=22, 3=13}::{1=16, 3=26}::{1=27, 3=34}
CHKPTID1::876::{1=4, 3=5}::{1=1, 3=1}::{1=8, 3=11}
CHKPTID2::802::{1=6, 3=9}::{1=1, 3=1}::{1=13, 3=15}
CHKPTID3::816::{1=7, 3=10}::{1=14, 3=0}::{1=14, 3=16}
CHKPTID4::825::{1=12, 3=14}::{1=15, 3=17}::{1=18, 3=21}
CHKPTID5::796::{1=14, 3=16}::{1=19, 3=23}::{1=19, 3=25}
CHKPTID1::961::{1=8, 3=6}::{1=1, 3=1}::{1=7, 3=12}
CHKPTID2::923::{1=13, 3=8}::{1=8, 3=14}::{1=12, 3=19}
CHKPTID1::828::{1=11, 3=5}::{1=1, 3=1}::{1=15, 3=16}
CHKPTID2::850::{1=15, 3=10}::{1=17, 3=17}::{1=19, 3=25}
CHKPTID1::930::{1=11, 3=10}::{1=1, 3=1}::{1=11, 3=20}
CHKPTID3::910::{1=14, 3=16}::{1=12, 3=22}::{1=18, 3=26}
